Station,Year,Escarpment,Land Disturbance Index,BFI,Area,D50 Point,Proportion Stable Banks,Width/Depth,Wetland area,ShapFactr,ChSlp_Pcnt,Precipitation,Streamorder,Stream.density..m.stream.km2.c,Bedrock.Geology...Metamorphic,Bedrock.Geology...Sedimentary,Bedrock.Geology...Sed.Volcanic,Bed..Geol...Ultramafic.Metam,Bedrock.Geology...Unconsolidat,Bedrock.Geology...Volcanic....,Landcover...Alpine....,Landcover...Forest....,Landcover...Lake....,Landcover...Nonprod.Forest....,Landcover...Unregen.Forest....,Landcover...Wetland....,Precip.Rainfall.JAN..mm...mm.,Precip.Rainfall.JUN..mm...mm.,Precip.Rainfall.Total.ANNUAL..,Precip.Snowfall.JAN..mm...mm.,Precip.Snowfall.JUN..mm...mm.,Precip.Snowfall.Total.ANNUAL..,Precip.Total.ANNUAL..mm...mm.,Precip.Total.JAN..mm...mm.,Precip.Total.JUN..mm...mm.,Temp.Max.JAN..deg.C...Degrees,Temp.Max.JUN..deg.C...Degrees,Temp.Mean.JAN..deg.C...Degrees,Temp.Mean.JUN..deg.C...Degrees,Temp.Min.JAN.deg.C...Degrees.C,Temp.Min.JUN..deg.C...Degrees,Channel.Depth...avg..cm.,Width...Wetted..m.,Velocity..Avg...m.s.,General...pH..pH.,Specific.Conductance,Substrate...dominant.size.cate,Substrate...embeddedness.categ
Site-6,2010,0,0.068399432,0.515943,27849924.8,0.1,0.583333333,23.53305146,0.058352255,5.969,0.685,162.5,2,483.69,0,0,0,0,0,0,0,44.55,1.39,46.49,0,7.57,0.1,30.9,205.6,26,0.1,142,344.4,24.7,31,-15,18.1,-19.6,10.9,-24.8,3.6,26.8,3.22,0.12,8.21,361,3,4
Site-7,2008,0,0.068399432,0.515943,27849924.8,0.1,0.583333333,23.53305146,0.058352255,5.969,0.685,316.9,2,297.99,0,0,0,0,0,0,0,57.85,0.3,32.22,0,9.63,0.1,30.9,205.6,26,0.1,142,344.4,24.7,31,-15,18.1,-19.6,10.9,-24.8,3.6,20.7,2.38,0.37,8.13,359,7,5
Site-7,2010,1,0.108894687,0.537123,9421225,12,0.708333333,67.36146324,0.092179182,8.542,0.504,277.9,1,229.12,0,98.4,1.6,0,0,0,53.48,13.25,0.09,33.18,0,0,1.2,36.7,176.4,20.8,0.4,123.8,287.9,19.9,37.5,-15.7,17.4,-21.5,10.3,-27.6,3.1,35.3,2.48,0.02,7.71,246,7,3
Site-7,2012,1,0.108894687,0.537123,9421225,12,0.708333333,67.36146324,0.092179182,8.542,0.504,288.1,2,336.31,0,100,0,0,0,0,0,100,0,0,0,0,0,37,184.3,19.8,0,114.8,298.8,19.8,37,-22.5,20.5,-27.9,13,-33.9,5.4,17,3.15,0.45,5.87,384,6,5
Site-7,2014,1,0.108894687,0.537123,9421225,12,0.708333333,67.36146324,0.092179182,8.542,0.504,162.5,3,424.48,0,0,0,0,0,100,28.84,24.18,0.39,44.09,0,2.5,0.3,20.2,136.8,26.7,0.4,102.5,231.7,20.4,20.4,-13.6,16.8,-18,10.8,-23,4.6,18.2,1.39,0.23,7.93,309,3,2
Site-8,2008,1,0.108894687,0.537123,9421225,12,0.708333333,67.36146324,0.092179182,8.542,0.504,316.9,3,455.97,0,0,0,0,0,100,30.98,19.95,0.42,45.98,0,2.68,0.3,20.2,136.8,26.7,0.4,102.5,231.7,20.4,20.4,-13.6,16.8,-18,10.8,-23,4.6,22.4,3.67,0.17,7.41,136,6,5
Site-8,2010,0,0.099352438,0.587441,243653600,18,0.75,47.38941096,0.123089836,16.56,0.342,277.9,1,376.68,0,0,0,0,0,100,79.35,1.89,0.73,18.03,0,0,0.3,20.2,136.8,26.7,0.4,102.5,231.7,20.4,20.4,-13.6,16.8,-18,10.8,-23,4.6,12.9,3.88,0.66,7.83,47,4,4
Site-8,2012,0,0.099352438,0.587441,243653600,18,0.75,47.38941096,0.123089836,16.56,0.342,288.1,2,243.88,0,100,0,0,0,0,61.76,0,0,38.24,0,0,1.2,36.7,176.4,20.8,0.4,123.8,287.9,19.9,37.5,-15.7,17.4,-21.5,10.3,-27.6,3.1,10.5,1.28,0.2,7.8,160,6,5
Site-9,2008,0,0.099352438,0.587441,243653600,18,0.75,47.38941096,0.123089836,16.56,0.342,162.5,2,353.59,0,100,0,0,0,0,79.25,0.03,0,20.72,0,0,1.2,36.7,176.4,20.8,0.4,123.8,287.9,19.9,37.5,-15.7,17.4,-21.5,10.3,-27.6,3.1,31.2,4.7,0.83,7.96,116,6,5
Site-9,2010,0,0.099352438,0.587441,243653600,18,0.75,47.38941096,0.123089836,16.56,0.342,316.9,3,278.19,0,0,0,0,0,100,30.84,19.46,0.1,48.65,0,0.95,0.2,29.7,197.4,31.1,0.1,166.9,367.1,28.9,30,-15,17.5,-19.7,10.7,-24.9,3.8,42.4,1.92,0.3,8.41,319,3,2
Site-10,2007,1,0.110695571,0.632678,36979400,20,0.41,16.7,0.155055368,14.054,0.313,288.1,4,309.15,0,100,0,0,0,0,0,2.82,0,0.78,24.1,0,0,37,184.3,19.8,0,114.8,298.8,19.8,37,-22.5,20.5,-27.9,13,-33.9,5.4,50,3.5,0.2,7.6,108.5,3,4
Site-11,2008,1,0.110695571,0.632678,36979400,20,0.41,16.7,0.155055368,14.054,0.313,162.5,4,318.79,0,100,0,0,0,0,2.78,44.01,0.01,3.66,0.26,0.14,0,45,210.2,19.3,0.1,121.3,325.5,19.7,45.5,-22.7,19.8,-27.9,12.4,-33.5,4.9,175,9,0.49,7.1,161.1,7,4
Site-11,2010,1,0.110695571,0.632678,36979400,20,0.41,16.7,0.155055368,14.054,0.313,316.9,4,312.54,0,100,0,0,0,0,2.78,44.01,0.01,3.66,0.26,0.14,0,45,210.2,19.3,0.1,121.3,325.5,19.7,45.5,-22.7,19.8,-27.9,12.4,-33.5,4.9,175,5,1.12,7.4,132.4,7,4
Site-11,2012,1,0.108115733,0.472547,11850900,13,0.65,34.53155941,0.064071222,7.179,0.763,277.9,4,317.45,0,100,0,0,0,0,2.78,44.01,0.77,3.66,0.26,0.14,0,45,210.2,19.3,0.1,121.3,325.5,19.7,45.5,-22.7,19.8,-27.9,12.4,-33.5,4.9,150,15,0.5,7,158.1,3,3
