,,Hydrozoa,Nemata,Oligochaeta,Turbellaria,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Plecoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Megaloptera,Megaloptera,Odonata,Odonata,Odonata,Odonata,Odonata,Odonata,Odonata,Odonata,Hirudinea,Hirudinea,Hirudinea,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Heteroptera,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Arachnida,Isopoda,Bivalvia
Site-4,2012,0,0,22,0,0,0,0,0,30,0,0,0,0,0,0,0,3,2,0,171,0,0,0,8,0,0,0,0,1,0,0,14,11,0,26,0,2,1,0,3,0,0,0,0,0,1,0,0,1,0,1,0,4,22,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Site-4,2014,0,0,11,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1,0,93,0,0,0,15,0,0,0,0,3,0,0,15,55,0,14,0,6,4,0,8,0,0,0,0,0,1,0,0,1,0,0,0,5,33,6,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,2,6
Site-5,2008,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,213,0,0,0,11,0,0,0,0,4,0,0,0,22,4,17,1,9,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site-5,2010,0,4,76,0,0,0,0,0,80,0,0,0,0,0,0,0,0,3,0,114,0,0,0,2,0,0,0,0,1,0,0,0,6,5,4,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
Site-5,2012,0,0,14,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,163,0,0,0,12,0,2,0,0,2,1,0,2,3,8,14,0,9,1,3,0,0,0,0,0,0,4,0,0,0,1,0,0,13,18,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,6
Site-6,2008,0,2,36,1,0,0,0,3,23,0,0,0,0,0,0,0,0,2,0,213,0,0,0,0,0,0,0,0,8,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
Site-6,2010,0,1,35,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,220,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Site-7,2008,1,0,18,0,0,0,0,6,20,0,0,0,0,0,0,0,0,1,0,209,0,0,0,0,0,0,0,0,4,0,1,1,8,0,0,0,1,0,0,1,0,0,0,1,9,10,2,2,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
Site-7,2010,0,3,25,0,0,0,0,2,80,0,0,0,0,0,0,0,0,8,0,66,0,0,0,1,0,0,0,0,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,15,9,1,0,0,0,0,0,0,4,1,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,17
Site-7,2012,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,13,0,1,1,0,57,0,0,1,2,0,0,0,1,0,0,68,0,7,1,0,0,0,0,0,2,0,0,2,7,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Site-7,2014,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,145,0,0,0,2,0,0,0,0,1,1,0,7,0,16,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Site-8,2008,0,7,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,3,0,84,0,0,0,3,0,0,0,0,0,0,2,3,4,7,4,2,14,1,0,22,0,0,0,0,1,7,5,0,0,1,0,0,0,16,1,0,7,8,0,0,0,2,0,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
Site-8,2010,1,16,0,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0,0,76,0,0,0,10,0,0,0,1,0,0,2,0,17,14,8,1,5,0,0,6,0,0,0,0,1,6,0,0,0,1,0,0,5,16,2,0,12,4,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8
Site-8,2012,1,1,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,1,0,178,0,0,0,0,0,0,0,0,13,0,0,12,33,0,65,0,1,0,0,15,0,0,23,0,15,3,7,0,0,1,1,0,0,9,0,0,1,2,0,0,0,2,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Site-9,2008,0,1,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,66,0,0,0,1,0,0,0,0,25,1,0,2,44,0,43,0,1,0,0,46,0,0,6,1,2,4,5,1,1,1,0,0,0,34,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site-9,2010,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,2,0,34,0,0,0,1,0,0,0,0,7,0,0,5,90,0,39,2,2,0,0,35,0,0,5,3,20,7,7,0,0,0,0,0,0,18,1,0,0,1,0,5,0,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Site-10,2007,0,2,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,1,0,74,0,0,0,0,0,0,0,0,9,0,0,6,39,0,85,0,0,0,0,22,0,3,17,4,5,7,3,0,0,0,4,0,0,25,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
Site-11,2008,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,93,0,0,0,4,0,0,0,0,142,0,1,5,11,0,6,0,5,0,0,0,0,1,0,0,33,0,10,4,0,0,2,0,0,6,0,4,3,5,0,0,0,4,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site-11,2010,1,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,4,0,77,0,0,0,5,0,1,0,0,87,0,2,4,10,0,6,0,7,0,0,6,0,0,3,22,16,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,9,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Site-11,2012,1,2,9,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,49,0,0,0,1,0,0,0,0,12,0,0,4,17,0,0,1,3,0,0,1,0,0,0,76,86,0,3,0,0,0,0,0,0,8,1,26,0,1,0,7,0,0,0,23,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
